srcLabelIx,srcLabelName,dstLabelId
0,Abroscopus albogularis,5
1,Abroscopus superciliaris,7
2,Aburria aburri,9
3,Acanthagenys rufogularis,12
4,Acanthis cabaret,15
5,Acanthis flammea,16
6,Acanthis hornemanni,18
7,Acanthiza chrysorrhoa,21
8,Acanthiza ewingii,23
9,Acanthiza pusilla,30
10,Acanthiza reguloides,31
11,Acanthorhynchus tenuirostris,41
12,Accipiter badius,51
13,Accipiter bicolor,52
14,Accipiter cooperii,60
15,Accipiter fasciatus,64
16,Accipiter gentilis,50
17,Accipiter nisus,79
18,Accipiter striatus,88
19,Accipiter tachiro,91
20,Acridotheres cristatellus,120
21,Acridotheres fuscus,121
22,Acridotheres tristis,127
23,Acris crepitans,130
24,Acris gryllus,131
25,Acrocephalus agricola,138
26,Acrocephalus arundinaceus,139
27,Acrocephalus australis,141
28,Acrocephalus baeticatus,142
29,Acrocephalus bistrigiceps,143
30,Acrocephalus dumetorum,147
31,Acrocephalus gracilirostris,149
32,Acrocephalus melanopogon,153
33,Acrocephalus orientalis,156
34,Acrocephalus paludicola,158
35,Acrocephalus palustris,159
36,Acrocephalus schoenobaenus,165
37,Acrocephalus scirpaceus,166
38,Acrocephalus stentoreus,168
39,Acropternis orthonyx,182
40,Actinodura strigula,198
41,Actitis hypoleucos,201
42,Actitis macularius,202
43,Adelomyia melanogenys,207
44,Aechmophorus clarkii,227
45,Aechmophorus occidentalis,228
46,Aegithalos caudatus,231
47,Aegithalos concinnus,232
48,Aegithina nigrolutea,241
49,Aegithina tiphia,242
50,Aegolius acadicus,244
51,Aegolius funereus,245
52,Aegotheles cristatus,251
53,Aeronautes saxatalis,290
54,Aethopyga christinae,310
55,Aethopyga gouldiae,315
56,Aethopyga nipalensis,322
57,Aethopyga saturata,325
58,Aethopyga siparaja,327
59,Agapornis roseicollis,373
60,Agelaioides badius,376
61,Agelaius phoeniceus,381
62,Agelaius tricolor,382
63,Agelasticus thilius,387
64,Ailuroedus crassirostris,422
65,Ailuroedus maculosus,425
66,Aimophila rufescens,433
67,Aimophila ruficeps,434
68,Aix galericulata,436
69,Aix sponsa,437
70,Akletos goeldii,440
71,Akletos melanoceps,441
72,Alauda arvensis,444
73,Alauda gulgula,445
74,Alaudala cheleensis,449
75,Alaudala rufescens,451
76,Alca torda,459
77,Alcedo atthis,460
78,Alcippe brunneicauda,471
79,Alcippe morrisonia,480
80,Alcippe poioicephala,483
81,Alectoris chukar,494
82,Alectoris rufa,499
83,Alisterus scapularis,513
84,Allonemobius allardi,538
85,Allonemobius tinnulus,547
86,Allonemobius walkeri,548
87,Alophoixus ochraceus,559
88,Alophoixus pallidus,561
89,Alophoixus phaeocephalus,562
90,Alopochen aegyptiaca,564
91,Alouatta pigra,571
92,Amandava amandava,589
93,Amaurolimnas concolor,593
94,Amaurornis moluccana,599
95,Amaurornis phoenicurus,602
96,Amazilia rutila,611
97,Amazilia tzacatl,612
98,Amazilia yucatanensis,613
99,Amazona aestiva,614
100,Amazona albifrons,616
101,Amazona amazonica,617
102,Amazona auropalliata,619
103,Amazona autumnalis,620
104,Amazona farinosa,626
105,Amazona finschi,629
106,Amazona mercenarius,634
107,Amazona ochrocephala,635
108,Amazona oratrix,636
109,Amazona vinacea,643
110,Amazona viridigenalis,644
111,Amazonetta brasiliensis,647
112,Amblycercus holosericeus,652
113,Amblycorypha alexanderi,653
114,Amblycorypha longinicta,661
115,Amblycorypha oblongifolia,662
116,Amblycorypha rotundifolia,665
117,Amblyramphus holosericeus,675
118,Ammodramus aurifrons,705
119,Ammodramus humeralis,706
120,Ammodramus savannarum,707
121,Ammospiza leconteii,720
122,Ammospiza maritima,721
123,Ammospiza nelsoni,722
124,Ampelioides tschudii,733
125,Amphispiza bilineata,743
126,Amphispizopsis quinquestriata,744
127,Anabacerthia lichtensteini,763
128,Anabacerthia striaticollis,765
129,Anabacerthia variegaticeps,766
130,Anabazenops dorsalis,773
131,Anabazenops fuscus,774
132,Anairetes parulus,789
133,Anas acuta,816
134,Anas crecca,827
135,Anas diazi,830
136,Anas flavirostris,835
137,Anas platyrhynchos,852
138,Anas poecilorhyncha,853
139,Anas rubripes,856
140,Anaxipha exigua,874
141,Anaxyrus americanus,889
142,Anaxyrus canorus,892
143,Anaxyrus cognatus,893
