srcLabelIx,srcLabelName,dstLabelId
224,Canachites canadensis,2800
225,Canis aureus,2805
226,Canis lupus (Domestic type),2806
227,Canis lupus,2807
228,Canis latrans,2811
229,Capreolus capreolus,2856
230,Caprimulgus europaeus,2871
231,Caprimulgus ruficollis,2892
232,Cardellina canadensis,2909
233,Cardellina pusilla,2910
234,Cardinalis cardinalis,2914
235,Linaria cannabina,2920
236,Carduelis carduelis,2922
237,Carduelis citrinella,2923
238,Carduelis corsicana,2924
239,Linaria flavirostris,2927
240,Spinus pinus,2929
241,Spinus spinus,2931
242,Carpodacus erythrinus,2951
243,Carpodacus rubicilla,2961
244,Carpospiza brachydactyla,2979
245,Castor canadensis,2996
246,Castor fiber,2997
247,Cathartes aura,3008
248,Catharus bicknelli,3012
249,Catharus fuscescens,3017
250,Catharus guttatus,3019
251,Catharus minimus,3021
252,Catharus ustulatus,3023
253,Cecropis daurica,3055
254,Centronyx henslowii,3094
255,Cepphus grylle,3137
256,Cercotrichas galactotes,3202
257,Certhia americana,3216
258,Certhia brachydactyla,3217
259,Certhia familiaris,3219
260,Cervus canadensis,3238
261,Cervus elaphus,3239
262,Ceryle rudis,3241
263,Cettia cetti,3248
264,Chaetura pelagica,3292
265,Charadrius dubius,3366
266,Charadrius hiaticula,3369
267,Charadrius melodus,3374
268,Eudromias morinellus,3379
269,Charadrius semipalmatus,3389
270,Charadrius vociferus,3393
271,Chersophilus duponti,3431
272,Chlidonias hybrida,3488
273,Chlidonias leucopterus,3489
274,Chlidonias niger,3490
275,Chloephaga picta,3499
276,Chloris chloris,3509
277,Chondestes grammacus,3610
278,Chordeiles minor,3616
279,Chorthippus albomarginatus,3621
280,Chorthippus apricarius,3624
281,Chorthippus biguttulus,3625
282,Chorthippus binotatus,3626
283,Chorthippus bornhalmi,3627
284,Chorthippus brunneus,3628
285,Chorthippus dorsatus,3633
286,Chorthippus mollis,3647
287,Pseudochorthippus parallelus,3651
288,Chorthippus vagans,3659
289,Chroicocephalus genei,3673
290,Chroicocephalus philadelphia,3677
291,Chroicocephalus ridibundus,3679
292,Chrysochraon dispar,3689
293,Chrysolophus amherstiae,3713
294,Chrysolophus pictus,3714
295,Cicada barbara,3739
296,Cicada cretensis,3740
297,Cicada orni,3743
298,Cicadatra atra,3745
299,Cicadatra platyptera,3749
300,Ciconia ciconia,3787
301,Ciconia nigra,3790
302,Cinclus cinclus,3826
303,Circaetus gallicus,3900
304,Circus aeruginosus,3905
305,Circus cyaneus,3910
306,Circus hudsonius,3911
307,Circus macrourus,3913
308,Circus pygargus,3917
309,Cisticola juncidis,3962
310,Cistothorus palustris,3985
311,Cistothorus stellaris,3987
