label_id,label_type,name,name_type,name_source
48,species,Accipiter albogularis,scientific,SpeciesMapping_11
48,species,Pied Goshawk,common_en,SpeciesMapping_11
48,species,Tachyspiza albogularis,scientific,SpeciesMapping_11
48,species,piegos1,ml_species_code,SpeciesMapping_11
49,species,Accipiter atricapillus,scientific,SpeciesMapping_11
49,species,Accipiter gentilis,scientific,SpeciesMapping_11
49,species,American Goshawk,common_en,SpeciesMapping_11
49,species,Astur atricapillus,scientific,SpeciesMapping_11
49,species,Astur gentilis,scientific,SpeciesMapping_11
49,species,Eurasian Goshawk,common_en,SpeciesMapping_11
49,species,norgos,ml_species_code,SpeciesMapping_11
49,species,norgos1,ml_species_code,SpeciesMapping_11
51,species,Accipiter badius,scientific,SpeciesMapping_11
51,species,Shikra,common_en,SpeciesMapping_11
51,species,Tachyspiza badia,scientific,SpeciesMapping_11
51,species,shikra1,ml_species_code,SpeciesMapping_11
52,species,Accipiter bicolor,scientific,SpeciesMapping_11
52,species,Astur bicolor,scientific,SpeciesMapping_11
52,species,Bicolored Hawk,common_en,SpeciesMapping_11
52,species,bichaw1,ml_species_code,SpeciesMapping_11
53,species,Accipiter brevipes,scientific,SpeciesMapping_11
53,species,Levant Sparrowhawk,common_en,SpeciesMapping_11
53,species,Tachyspiza brevipes,scientific,SpeciesMapping_11
53,species,levspa1,ml_species_code,SpeciesMapping_11
54,species,Accipiter castanilius,scientific,SpeciesMapping_11
55,species,Accipiter chilensis,scientific,SpeciesMapping_11
55,species,Astur chilensis,scientific,SpeciesMapping_11
55,species,Chilean Hawk,common_en,SpeciesMapping_11
55,species,bichaw4,ml_species_code,SpeciesMapping_11
56,species,Accipiter chionogaster,scientific,SpeciesMapping_11
57,species,Accipiter cirrocephalus,scientific,SpeciesMapping_11
57,species,Collared Sparrowhawk,common_en,SpeciesMapping_11
57,species,Tachyspiza cirrocephala,scientific,SpeciesMapping_11
57,species,colspa1,ml_species_code,SpeciesMapping_11
58,species,Accipiter collaris,scientific,SpeciesMapping_11
58,species,Microspizias collaris,scientific,SpeciesMapping_11
58,species,Semicollared Hawk,common_en,SpeciesMapping_11
58,species,semhaw2,ml_species_code,SpeciesMapping_11
60,species,Accipiter cooperii,scientific,SpeciesMapping_11
60,species,Astur cooperii,scientific,SpeciesMapping_11
60,species,Cooper's Hawk,common_en,SpeciesMapping_11
60,species,coohaw,ml_species_code,SpeciesMapping_11
61,species,Accipiter erythrauchen,scientific,SpeciesMapping_11
61,species,Rufous-necked Sparrowhawk,common_en,SpeciesMapping_11
61,species,Tachyspiza erythrauchen,scientific,SpeciesMapping_11
61,species,runspa1,ml_species_code,SpeciesMapping_11
62,species,Accipiter erythronemius,scientific,SpeciesMapping_11
63,species,Accipiter erythropus,scientific,SpeciesMapping_11
63,species,Red-thighed Sparrowhawk,common_en,SpeciesMapping_11
63,species,Tachyspiza erythropus,scientific,SpeciesMapping_11
