id,name,english,german,gbif,class,order
11857,Otus longicornis,Luzon Scops Owl,Luzon-Zwergohreule,Otus longicornis,Aves,Strigiformes
11858,Otus madagascariensis,Torotoroka Scops Owl,Torotoroka-Zwergohreule,Otus madagascariensis,Aves,Strigiformes
11859,Otus magicus,Moluccan Scops Owl,Molukken-Zwergohreule,Otus magicus,Aves,Strigiformes
11860,Otus tempestatis,Wetar Scops Owl,Wetar-Zwergohreule,Otus magicus,Aves,Strigiformes
11861,Otus manadensis,Sulawesi Scops Owl,Manado-Zwergohreule,Otus manadensis,Aves,Strigiformes
11862,Otus mantananensis,Mantanani Scops Owl,Mantanani-Zwergohreule,Otus mantananensis,Aves,Strigiformes
11863,Otus mayottensis,Mayotte Scops Owl,Mayotte-Zwergohreule,Otus mayottensis,Aves,Strigiformes
11864,Otus megalotis,Philippine Scops Owl,Philippinen-Zwergohreule,Otus megalotis,Aves,Strigiformes
11865,Otus mendeni,Banggai Scops Owl,Banggai-Zwergohreule,Otus mendeni,Aves,Strigiformes
11866,Otus mentawi,Mentawai Scops Owl,Mentawi-Zwergohreule,Otus mentawi,Aves,Strigiformes
11867,Otus mindorensis,Mindoro Scops Owl,Mindoro-Zwergohreule,Otus mindorensis,Aves,Strigiformes
11868,Otus mirus,Mindanao Scops Owl,Mindanao-Zwergohreule,Otus mirus,Aves,Strigiformes
11869,Otus moheliensis,Moheli Scops Owl,Moheli-Zwergohreule,Otus moheliensis,Aves,Strigiformes
11870,Otus nigrorum,Negros Scops Owl,Negros-Zwergohreule,Otus nigrorum,Aves,Strigiformes
11871,Otus pamelae,Arabian Scops Owl,Arabien-Zwergohreule,Otus pamelae,Aves,Strigiformes
11872,Otus pauliani,Karthala Scops Owl,Komoren-Zwergohreule,Otus pauliani,Aves,Strigiformes
11873,Otus pembaensis,Pemba Scops Owl,Pemba-Zwergohreule,Otus pembaensis,Aves,Strigiformes
11874,Otus podarginus,Palau Scops Owl,Palaueule,Pyrroglaux podargina,Aves,Strigiformes
11875,Otus rufescens,Reddish Scops Owl,Rötel-Zwergohreule,Otus rufescens,Aves,Strigiformes
11876,Otus rutilus,Rainforest Scops Owl,Madagaskar-Zwergohreule,Otus rutilus,Aves,Strigiformes
11877,Otus sagittatus,White-fronted Scops Owl,Weißstirn-Zwergohreule,Otus sagittatus,Aves,Strigiformes
11878,Otus scops,Eurasian Scops Owl,Zwergohreule,Otus scops,Aves,Strigiformes
11879,Otus semitorques,Japanese Scops Owl,Japan-Zwergohreule,Otus semitorques,Aves,Strigiformes
11880,Otus silvicola,Wallace's Scops Owl,Wallace-Zwergohreule,Otus silvicola,Aves,Strigiformes
11881,Otus socotranus,Socotra Scops Owl,Sokotra-Zwergohreule,Otus socotranus,Aves,Strigiformes
11882,Otus spilocephalus,Mountain Scops Owl,Fuchs-Zwergohreule,Otus spilocephalus,Aves,Strigiformes
11883,Otus sulaensis,Sula Scops Owl,Sula-Zwergohreule,Otus sulaensis,Aves,Strigiformes
11884,Otus sunia,Oriental Scops Owl,Orient-Zwergohreule,Otus sunia,Aves,Strigiformes
11885,Otus thilohoffmanni,Serendib Scops Owl,Ceylon-Zwergohreule,Otus thilohoffmanni,Aves,Strigiformes
11886,Otus umbra,Simeulue Scops Owl,Simalur-Zwergohreule,Otus umbra,Aves,Strigiformes
11887,Ovibos moschatus,muskox,,Ovibos moschatus,Mammalia,Artiodactyla
11888,Ovis ammon,,,Ovis ammon,Mammalia,Artiodactyla
11889,Ovis aries,Sheep,,Ovis aries,Mammalia,Artiodactyla
11892,Ovis canadensis,Bighorn Sheep,,Ovis canadensis,Mammalia,Artiodactyla
11893,Oxalis pes-caprae,,,,,
11894,Oxelytrum discicolle,,,Oxelytrum discicolle,Insecta,Coleoptera
11895,Oxygyne shinzatoi,,,,Insecta,Hymenoptera
11896,Oxylabes madagascariensis,White-throated Oxylabes,Weißkehl-Madagaskarsänger,Oxylabes madagascariensis,Aves,Passeriformes
11897,Oxypogon cyanolaemus,Blue-bearded Helmetcrest,Blaubart-Helmkolibri,Oxypogon cyanolaemus,Aves,Apodiformes
11898,Oxypogon guerinii,Green-bearded Helmetcrest,Grünbart-Helmkolibri,Oxypogon guerinii,Aves,Apodiformes
11899,Oxypogon lindenii,White-bearded Helmetcrest,Weißbart-Helmkolibri,Oxypogon lindenii,Aves,Apodiformes
11900,Oxypogon stuebelii,Buffy Helmetcrest,Violettbart-Helmkolibri,Oxypogon stuebelii,Aves,Apodiformes
11901,Oxyruncus cristatus,Sharpbill,Flammenkopfbekarde,Oxyruncus cristatus,Aves,Passeriformes
11902,Oxythyrea funesta,,,Oxythyrea funesta,Insecta,Coleoptera
11903,Oxyura australis,Blue-billed Duck,Schwarzkinn-Ruderente,Oxyura australis,Aves,Anseriformes
11904,Oxyura ferruginea,Andean Duck,Andenruderente,Oxyura ferruginea,Aves,Anseriformes
11905,Oxyura jamaicensis,Ruddy Duck,Schwarzkopf-Ruderente,Oxyura jamaicensis,Aves,Anseriformes
11906,Oxyura leucocephala,White-headed Duck,Weißkopf-Ruderente,Oxyura leucocephala,Aves,Anseriformes
11907,Oxyura maccoa,Maccoa Duck,Afrikaruderente,Oxyura maccoa,Aves,Anseriformes
11908,Oxyura vittata,Lake Duck,Bindenruderente,Oxyura vittata,Aves,Anseriformes
11909,Ozimops ridei,,,Ozimops ridei,Mammalia,Chiroptera
11910,Ozotoceros bezoarticus,,,Ozotoceros bezoarticus,Mammalia,Artiodactyla
11911,Ozphyllum naskreckii,,,Ozphyllum naskreckii,Insecta,Orthoptera
11912,Pacarina puella,,,Pacarina puella,Insecta,Hemiptera
11913,Pacarina schumanni,,,Pacarina schumanni,Insecta,Hemiptera
11914,Pacarina shoemakeri,,,Pacarina shoemakeri,Insecta,Hemiptera
11915,Pachnoda sinuata,,,Pachnoda sinuata,Insecta,Coleoptera
11916,Pachycare flavogriseum,Goldenface,Goldstirnhuscher,Pachycare flavogriseum,Aves,Passeriformes
11917,Pachycephala albiventris,Green-backed Whistler,Olivrücken-Dickkopf,Pachycephala albiventris,Aves,Passeriformes
11918,Pachycephala arctitorquis,Wallacean Whistler,Weißhals-Dickkopf,Pachycephala arctitorquis,Aves,Passeriformes
11919,Pachycephala aurea,Golden-backed Whistler,Gelbrücken-Dickkopf,Pachycephala aurea,Aves,Passeriformes
11920,Pachycephala balim,Baliem Whistler,Baliemdickkopf,Pachycephala balim,Aves,Passeriformes
11921,Pachycephala caledonica,New Caledonian Whistler,Ockerbauch-Dickkopf,Pachycephala caledonica,Aves,Passeriformes
11923,Pachycephala chlorura,Melanesian Whistler,Melanesiendickkopf,Pachycephala chlorura,Aves,Passeriformes
11924,Pachycephala cinerea,Mangrove Whistler,Schnäpperdickkopf,Pachycephala cinerea,Aves,Passeriformes
11925,Pachycephala citreogaster,Bismarck Whistler,Bismarckdickkopf,Pachycephala citreogaster,Aves,Passeriformes
11926,Pachycephala collaris,Louisiade Whistler,Louisiadedickkopf,Pachycephala collaris,Aves,Passeriformes
11927,Pachycephala feminina,Rennell Whistler,Rennelldickkopf,Pachycephala feminina,Aves,Passeriformes
11928,Pachycephala flavifrons,Samoan Whistler,Diademdickkopf,Pachycephala flavifrons,Aves,Passeriformes
11929,Pachycephala fuliginosa,Western Whistler,Ramsaydickkopf,Pachycephala fuliginosa,Aves,Passeriformes
11930,Pachycephala calliope,Rusty-breasted Whistler,,Pachycephala fulvotincta,Aves,Passeriformes
11931,Pachycephala graeffii,Yellow-throated Fiji Whistler,,Pachycephala graeffii,Aves,Passeriformes
11932,Pachycephala griseonota,Drab Whistler,Molukkendickkopf,Pachycephala griseonota,Aves,Passeriformes
11933,Pachycephala homeyeri,White-vented Whistler,Braunbrust-Dickkopf,Pachycephala homeyeri,Aves,Passeriformes
11934,Pachycephala hyperythra,Rusty Whistler,Rostbauch-Dickkopf,Pachycephala hyperythra,Aves,Passeriformes
11935,Pachycephala hypoxantha,Bornean Whistler,Borneodickkopf,Pachycephala hypoxantha,Aves,Passeriformes
11936,Pachycephala implicata,Hooded Whistler,Olivbauch-Dickkopf,Pachycephala implicata,Aves,Passeriformes
11937,Pachycephala inornata,Gilbert's Whistler,Schwarzzügel-Dickkopf,Pachycephala inornata,Aves,Passeriformes
11938,Pachycephala jacquinoti,Tongan Whistler,Tongadickkopf,Pachycephala jacquinoti,Aves,Passeriformes
11939,Pachycephala johni,Cinnamon-breasted Whistler,Obidickkopf,Pachycephala johni,Aves,Passeriformes
11940,Pachycephala lanioides,White-breasted Whistler,Braunhals-Dickkopf,Pachycephala lanioides,Aves,Passeriformes
11941,Pachycephala leucogastra,White-bellied Whistler,Weißbauch-Dickkopf,Pachycephala leucogastra,Aves,Passeriformes
11942,Pachycephala lorentzi,Lorentz's Whistler,Lorentzdickkopf,Pachycephala lorentzi,Aves,Passeriformes
11943,Pachycephala macrorhyncha,Yellow-throated Whistler,Bandadickkopf,Pachycephala macrorhyncha,Aves,Passeriformes
11944,Pachycephala melanura,Mangrove Golden Whistler,Mangrovedickkopf,Pachycephala melanura,Aves,Passeriformes
11945,Pachycephala mentalis,Black-chinned Whistler,Schwarzkinn-Dickkopf,Pachycephala mentalis,Aves,Passeriformes
11946,Pachycephala meyeri,Vogelkop Whistler,Braunohr-Dickkopf,Pachycephala meyeri,Aves,Passeriformes
11947,Pachycephala modesta,Brown-backed Whistler,Braunrücken-Dickkopf,Pachycephala modesta,Aves,Passeriformes
11948,Pachycephala monacha,Black-headed Whistler,Schwarzgrau-Dickkopf,Pachycephala monacha,Aves,Passeriformes
11949,Pachycephala nudigula,Bare-throated Whistler,Nacktkehl-Dickkopf,Pachycephala nudigula,Aves,Passeriformes
11950,Pachycephala olivacea,Olive Whistler,Schuppenkehl-Dickkopf,Pachycephala olivacea,Aves,Passeriformes
11951,Pachycephala orioloides,Oriole Whistler,Salomonendickkopf,Pachycephala orioloides,Aves,Passeriformes
11952,Pachycephala ornata,Nendo Whistler,,,,
11953,Pachycephala orpheus,Fawn-breasted Whistler,Orpheusdickkopf,Pachycephala orpheus,Aves,Passeriformes
11954,Pachycephala pectoralis,Australian Golden Whistler,Gelbbauch-Dickkopf,Pachycephala pectoralis,Aves,Passeriformes
11955,Pachycephala phaionota,Island Whistler,Küstendickkopf,Pachycephala phaionota,Aves,Passeriformes
11956,Pachycephala philippinensis,Yellow-bellied Whistler,Philippinendickkopf,Pachycephala philippinensis,Aves,Passeriformes
