id,name,english,german,gbif,class,order
1,Abavorana luctuosa,,,Abavorana luctuosa,Amphibia,Anura
3,Abeillia abeillei,Emerald-chinned Hummingbird,Smaragdkehlkolibri,Abeillia abeillei,Aves,Apodiformes
4,Abies balsamea,,,,,
5,Abroscopus albogularis,Rufous-faced Warbler,Rostwangen-Dickichtsänger,Abroscopus albogularis,Aves,Passeriformes
6,Abroscopus schisticeps,Black-faced Warbler,Schieferkopf-Dickichtsänger,Abroscopus schisticeps,Aves,Passeriformes
7,Abroscopus superciliaris,Yellow-bellied Warbler,Bambusdickichtsänger,Abroscopus superciliaris,Aves,Passeriformes
8,Abudefduf saxatilis,Damsel fish,,Abudefduf saxatilis,,Perciformes
9,Aburria aburri,Wattled Guan,Lappenguan,Aburria aburri,Aves,Galliformes
10,Acacia islana,,,,,
11,Acacia melanoxylon,,,,,
12,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Braunkehl-Honigfresser,Acanthagenys rufogularis,Aves,Passeriformes
13,Acanthidops bairdi,Peg-billed Finch,Vulkanammertangare,Acanthidops bairdi,Aves,Passeriformes
14,Acanthinodera cumingii,,,Acanthinodera cumingii,Insecta,Coleoptera
15,Acanthis cabaret,,Alpenbirkenzeisig,Acanthis flammea,Aves,Passeriformes
16,Acanthis flammea,Redpoll,Taigabirkenzeisig,Acanthis flammea,Aves,Passeriformes
18,Acanthis hornemanni,,Polarbirkenzeisig,Acanthis hornemanni,Aves,Passeriformes
19,Acanthisitta chloris,Rifleman,Grünstummelschwanz,Acanthisitta chloris,Aves,Passeriformes
20,Acanthiza apicalis,Inland Thornbill,Stelzschwanz-Dornschnabel,Acanthiza apicalis,Aves,Passeriformes
21,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Gelbbürzel-Dornschnabel,Acanthiza chrysorrhoa,Aves,Passeriformes
22,Acanthiza cinerea,Grey Thornbill,Weißbürzel-Dornschnabel,Gerygone cinerea,Aves,Passeriformes
23,Acanthiza ewingii,Tasmanian Thornbill,Tasmandornschnabel,Acanthiza ewingii,Aves,Passeriformes
24,Acanthiza inornata,Western Thornbill,Walddornschnabel,Acanthiza inornata,Aves,Passeriformes
25,Acanthiza iredalei,Slender-billed Thornbill,Grunddornschnabel,Acanthiza iredalei,Aves,Passeriformes
26,Acanthiza katherina,Mountain Thornbill,Bergdornschnabel,Acanthiza katherina,Aves,Passeriformes
27,Acanthiza lineata,Striated Thornbill,Stricheldornschnabel,Acanthiza lineata,Aves,Passeriformes
28,Acanthiza murina,New Guinea Thornbill,Papuadornschnabel,Acanthiza murina,Aves,Passeriformes
29,Acanthiza nana,Yellow Thornbill,Gelbbauch-Dornschnabel,Acanthiza nana,Aves,Passeriformes
30,Acanthiza pusilla,Brown Thornbill,Roststirn-Dornschnabel,Acanthiza pusilla,Aves,Passeriformes
31,Acanthiza reguloides,Buff-rumped Thornbill,Goldhähnchen-Dornschnabel,Acanthiza reguloides,Aves,Passeriformes
32,Acanthiza robustirostris,Slaty-backed Thornbill,Graurücken-Dornschnabel,Acanthiza robustirostris,Aves,Passeriformes
33,Acanthiza uropygialis,Chestnut-rumped Thornbill,Braunbürzel-Dornschnabel,Acanthiza uropygialis,Aves,Passeriformes
34,Acanthodis tessellata,,,Acanthodis tessellata,Insecta,Orthoptera
35,Acanthodoras spinosissimus,Croaking catfish,,Acanthodoras spinosissimus,,Siluriformes
36,Acanthogryllus acus,,,Acanthogryllus acus,Insecta,Orthoptera
37,Acanthogryllus brunneri,,,Acanthogryllus brunneri,Insecta,Orthoptera
38,Acanthophora spicifera,,,,Insecta,
39,Acanthoplus discoidalis,,,Acanthoplus discoidalis,Insecta,Orthoptera
40,Acanthorhynchus superciliosus,Western Spinebill,Buntkopf-Honigfresser,Acanthorhynchus superciliosus,Aves,Passeriformes
41,Acanthorhynchus tenuirostris,Eastern Spinebill,Rotnacken-Honigfresser,Acanthorhynchus tenuirostris,Aves,Passeriformes
42,Acanthornis magna,Scrubtit,Stammhuscher,Acanthornis magna,Aves,Passeriformes
43,Acanthosoma haemorrhoidale,,,Acanthosoma haemorrhoidale,Insecta,Hemiptera
44,Acanthostracion quadricornis,Cowfish,,Acanthostracion quadricornis,,Tetraodontiformes
45,Acanthoventris drewseni,,,Acanthoventris drewseni,Insecta,Hemiptera
46,Acanthurus chirurgus,Black doctorfish,,Acanthurus chirurgus,,Perciformes
47,Acanthurus coeruleus,Blue barber,,Acanthurus coeruleus,,Perciformes
48,Tachyspiza albogularis,Pied Goshawk,Elsterhabicht,Accipiter albogularis,Aves,Accipitriformes
49,Astur atricapillus,American Goshawk,,Falco atricapillus,Aves,Falconiformes
50,Astur gentilis,Eurasian Goshawk,Habicht,Accipiter gentilis,Aves,Accipitriformes
51,Tachyspiza badia,Shikra,Schikrasperber,Accipiter badius,Aves,Accipitriformes
52,Astur bicolor,Bicolored Hawk,Zweifarbhabicht,Accipiter bicolor,Aves,Accipitriformes
53,Tachyspiza brevipes,Levant Sparrowhawk,Kurzfangsperber,Accipiter brevipes,Aves,Accipitriformes
54,Aerospiza castanilius,Chestnut-flanked Sparrowhawk,Rotflankenhabicht,Accipiter castanilius,Aves,Accipitriformes
55,Astur chilensis,Chilean Hawk,Chilehabicht,Accipiter chilensis,Aves,Accipitriformes
56,Accipiter chionogaster,White-breasted Hawk,Weißbrustsperber,Accipiter chionogaster,Aves,Accipitriformes
57,Tachyspiza cirrocephala,Collared Sparrowhawk,Halsringsperber,Accipiter cirrocephalus,Aves,Accipitriformes
58,Microspizias collaris,Semicollared Hawk,Halsbandsperber,Accipiter collaris,Aves,Accipitriformes
60,Astur cooperii,Cooper's Hawk,Rundschwanzhabicht,Accipiter cooperii,Aves,Accipitriformes
61,Tachyspiza erythrauchen,Rufous-necked Sparrowhawk,Rotnackensperber,Accipiter erythrauchen,Aves,Accipitriformes
62,Accipiter erythronemius,Rufous-thighed Hawk,Rotschenkelsperber,Accipiter erythronemius,Aves,Accipitriformes
63,Tachyspiza erythropus,Red-thighed Sparrowhawk,Waldsperber,Accipiter erythropus,Aves,Accipitriformes
64,Tachyspiza fasciata,Brown Goshawk,Bänderhabicht,Accipiter fasciatus,Aves,Accipitriformes
65,Tachyspiza francesiae,Frances's Sparrowhawk,Echsensperber,Accipiter francesiae,Aves,Accipitriformes
66,Lophospiza griseiceps,Sulawesi Goshawk,Graukopfhabicht,Accipiter griseiceps,Aves,Accipitriformes
67,Tachyspiza gularis,Japanese Sparrowhawk,Trillersperber,Accipiter gularis,Aves,Accipitriformes
68,Astur gundlachi,Gundlach's Hawk,Kubahabicht,Accipiter gundlachi,Aves,Accipitriformes
69,Tachyspiza haplochroa,White-bellied Goshawk,Weißbauchhabicht,Accipiter haplochrous,Aves,Accipitriformes
70,Tachyspiza henicogramma,Moluccan Goshawk,Halmaherahabicht,Accipiter henicogrammus,Aves,Accipitriformes
71,Astur henstii,Henst's Goshawk,Madagaskarhabicht,Accipiter henstii,Aves,Accipitriformes
72,Tachyspiza hiogaster,Variable Goshawk,Inselhabicht,Accipiter hiogaster,Aves,Accipitriformes
73,Accipiter madagascariensis,Madagascar Sparrowhawk,Madagaskarsperber,Accipiter madagascariensis,Aves,Accipitriformes
74,Tachyspiza melanochlamys,Black-mantled Goshawk,Schwarzmantelhabicht,Accipiter melanochlamys,Aves,Accipitriformes
75,Astur melanoleucus,Black Sparrowhawk,Dominohabicht,Accipiter melanoleucus,Aves,Accipitriformes
76,Astur meyerianus,Meyer's Goshawk,Papuahabicht,Accipiter meyerianus,Aves,Accipitriformes
77,Tachyspiza minulla,Little Sparrowhawk,Zwergsperber,Accipiter minullus,Aves,Accipitriformes
78,Tachyspiza nanus,Dwarf Sparrowhawk,Sulawesisperber,Accipiter nanus,Aves,Accipitriformes
79,Accipiter nisus,Eurasian Sparrowhawk,Sperber,Accipiter nisus,Aves,Accipitriformes
80,Tachyspiza novaehollandiae,Grey Goshawk,Grauhabicht,Accipiter novaehollandiae,Aves,Accipitriformes
81,Accipiter ovampensis,Ovambo Sparrowhawk,Ovambosperber,Accipiter ovampensis,Aves,Accipitriformes
82,Tachyspiza poliocephala,Grey-headed Goshawk,Aschkopfhabicht,Accipiter poliocephalus,Aves,Accipitriformes
83,Accipiter poliogaster,Grey-bellied Hawk,Graubauchhabicht,Accipiter poliogaster,Aves,Accipitriformes
84,Tachyspiza rhodogaster,Vinous-breasted Sparrowhawk,Rosenbrustsperber,Accipiter rhodogaster,Aves,Accipitriformes
85,Tachyspiza rufitorques,Fiji Goshawk,Fidschihabicht,Accipiter rufitorques,Aves,Accipitriformes
86,Accipiter rufiventris,Rufous-breasted Sparrowhawk,Rotbauchsperber,Accipiter rufiventris,Aves,Accipitriformes
87,Tachyspiza soloensis,Chinese Sparrowhawk,Froschsperber,Accipiter soloensis,Aves,Accipitriformes
88,Accipiter striatus,Sharp-shinned Hawk,Eckschwanzsperber,Accipiter striatus,Aves,Accipitriformes
89,Microspizias superciliosus,Tiny Hawk,Däumlingssperber,Accipiter superciliosus,Aves,Accipitriformes
91,Aerospiza tachiro,African Goshawk,Afrikahabicht,Accipiter tachiro,Aves,Accipitriformes
92,Accipiter toussenelii,,,Accipiter toussenelii,Aves,Accipitriformes
93,Tachyspiza trinotata,Spot-tailed Sparrowhawk,Fleckschwanzsperber,Accipiter trinotatus,Aves,Accipitriformes
94,Lophospiza trivirgata,Crested Goshawk,Schopfhabicht,Accipiter trivirgatus,Aves,Accipitriformes
95,Accipiter ventralis,Plain-breasted Hawk,Andensperber,Accipiter ventralis,Aves,Accipitriformes
96,Tachyspiza virgata,Besra,Besrasperber,Accipiter virgatus,Aves,Accipitriformes
97,Acer circinatum,,,,,
98,Acer macrophyllum,,,,,
99,Acer negundo,,,,,
100,Acer platanoides,,,,,
101,Acer rubrum,,,,,
102,Acer saccharinum,,,,,
103,Acer saccharum,,,,,
104,Rhabdotorrhinus corrugatus,Wrinkled Hornbill,Runzelhornvogel,Rhabdotorrhinus corrugatus,Aves,Bucerotiformes
106,Aceros nipalensis,Rufous-necked Hornbill,Nepalhornvogel,Aceros nipalensis,Aves,Bucerotiformes
107,Achaetops pycnopygius,Rockrunner,Klippensänger,Achaetops pycnopygius,Aves,Passeriformes
108,Acherontia atropos,,,Acherontia atropos,Insecta,Lepidoptera
110,Acheta domesticus,House cricket,,Acheta domesticus,Insecta,Orthoptera
111,Acheta hispanicus,,,Acheta hispanicus,Insecta,Orthoptera
112,Acheta meridionalis,,,Acheta meridionalis,Insecta,Orthoptera
113,Acheta rufopictus,,,Acheta rufopictus,Insecta,Orthoptera
114,Acinonyx jubatus,,,Acinonyx jubatus,Mammalia,Carnivora
115,Acontista concinna,,,Acontista concinna,Insecta,Mantodea
116,Acrida ungarica,,,Acrida ungarica,Insecta,Orthoptera
117,Acrididae,Short-horned Grasshoppers,,,Insecta,Orthoptera
118,Acridotheres albocinctus,Collared Myna,Halsbandmaina,Acridotheres albocinctus,Aves,Passeriformes
119,Acridotheres burmannicus,Burmese Myna,Burmamaina,Acridotheres burmannicus,Aves,Passeriformes
120,Acridotheres cristatellus,Crested Myna,Haubenmaina,Acridotheres cristatellus,Aves,Passeriformes
121,Acridotheres fuscus,Jungle Myna,Dschungelmaina,Acridotheres fuscus,Aves,Passeriformes
122,Acridotheres ginginianus,Bank Myna,Ufermaina,Acridotheres ginginianus,Aves,Passeriformes
123,Acridotheres grandis,Great Myna,Riesenmaina,Acridotheres grandis,Aves,Passeriformes
124,Acridotheres javanicus,Javan Myna,Javamaina,Acridotheres javanicus,Aves,Passeriformes
125,Acridotheres leucocephalus,Vinous-breasted Myna,Fahlbürzelmaina,Acridotheres leucocephalus,Aves,Passeriformes
126,Acridotheres melanopterus,Black-winged Myna,Schwarzflügelmaina,Acridotheres melanopterus,Aves,Passeriformes
127,Acridotheres tristis,Common Myna,Hirtenmaina,Acridotheres tristis,Aves,Passeriformes
128,Acripeza reticulata,,,Acripeza reticulata,Insecta,Orthoptera
129,Acris blanchardi,,,Acris blanchardi,Amphibia,Anura
130,Acris crepitans,Northern Cricket Frog,,Acris crepitans,Amphibia,Anura
131,Acris gryllus,Southern Cricket Frog,,Acris gryllus,Amphibia,Anura
132,Acris,Acris,,,Amphibia,Anura
133,Acritillas indica,Yellow-browed Bulbul,Goldbrauenbülbül,Acritillas indica,Aves,Passeriformes
135,Acrobates pygmaeus,,,Acrobates pygmaeus,Mammalia,Diprotodontia
136,Acrobatornis fonsecai,Pink-legged Graveteiro,Plantagenschlüpfer,Acrobatornis fonsecai,Aves,Passeriformes
137,Acrocephalus aequinoctialis,Bokikokiko,Kiribatirohrsänger,Acrocephalus aequinoctialis,Aves,Passeriformes
138,Acrocephalus agricola,Paddyfield Warbler,Feldrohrsänger,Acrocephalus agricola,Aves,Passeriformes
139,Acrocephalus arundinaceus,Great Reed Warbler,Drosselrohrsänger,Acrocephalus arundinaceus,Aves,Passeriformes
140,Acrocephalus atyphus,Tuamotu Reed Warbler,Tuamoturohrsänger,Acrocephalus atyphus,Aves,Passeriformes
141,Acrocephalus australis,Australian Reed Warbler,Australrohrsänger,Acrocephalus australis,Aves,Passeriformes
142,Acrocephalus baeticatus,,,Acrocephalus baeticatus,Aves,Passeriformes
143,Acrocephalus bistrigiceps,Black-browed Reed Warbler,Brauenrohrsänger,Acrocephalus bistrigiceps,Aves,Passeriformes
144,Acrocephalus brevipennis,Cape Verde Warbler,Kapverden-Rohrsänger,Acrocephalus brevipennis,Aves,Passeriformes
145,Acrocephalus caffer,Tahiti Reed Warbler,Langschnabel-Rohrsänger,Acrocephalus caffer,Aves,Passeriformes
146,Acrocephalus concinens,Blunt-winged Warbler,Strauchrohrsänger,Acrocephalus concinens,Aves,Passeriformes
147,Acrocephalus dumetorum,Blyth's Reed Warbler,Buschrohrsänger,Acrocephalus dumetorum,Aves,Passeriformes
148,Acrocephalus familiaris,Millerbird,Hawaiirohrsänger,Acrocephalus familiaris,Aves,Passeriformes
149,Acrocephalus gracilirostris,Lesser Swamp Warbler,Kaprohrsänger,Acrocephalus gracilirostris,Aves,Passeriformes
150,Acrocephalus griseldis,Basra Reed Warbler,Basrarohrsänger,Acrocephalus griseldis,Aves,Passeriformes
151,Acrocephalus hiwae,Saipan Reed Warbler,Marianenrohrsänger,Acrocephalus hiwae,Aves,Passeriformes
152,Acrocephalus kerearako,Cook Reed Warbler,Cookinsel-Rohrsänger,Acrocephalus kerearako,Aves,Passeriformes
153,Acrocephalus melanopogon,Moustached Warbler,Mariskenrohrsänger,Acrocephalus melanopogon,Aves,Passeriformes
154,Acrocephalus mendanae,Southern Marquesan Reed Warbler,Südmarquesas-Rohrsänger,Acrocephalus mendanae,Aves,Passeriformes
155,Acrocephalus newtoni,Madagascar Swamp Warbler,Madagaskarrohrsänger,Acrocephalus newtoni,Aves,Passeriformes
156,Acrocephalus orientalis,Oriental Reed Warbler,Chinarohrsänger,Acrocephalus orientalis,Aves,Passeriformes
157,Acrocephalus orinus,Large-billed Reed Warbler,Großschnabel-Rohrsänger,Acrocephalus orinus,Aves,Passeriformes
158,Acrocephalus paludicola,Aquatic Warbler,Seggenrohrsänger,Acrocephalus paludicola,Aves,Passeriformes
159,Acrocephalus palustris,Marsh Warbler,Sumpfrohrsänger,Acrocephalus palustris,Aves,Passeriformes
160,Acrocephalus percernis,Northern Marquesan Reed Warbler,Nordmarquesas-Rohrsänger,Acrocephalus percernis,Aves,Passeriformes
161,Acrocephalus rehsei,Nauru Reed Warbler,Naururohrsänger,Acrocephalus rehsei,Aves,Passeriformes
162,Acrocephalus rimitarae,Rimatara Reed Warbler,Rimatararohrsänger,Acrocephalus rimitarae,Aves,Passeriformes
163,Acrocephalus rodericanus,Rodrigues Warbler,Rodriguesrohrsänger,Acrocephalus rodericanus,Aves,Passeriformes
164,Acrocephalus rufescens,Greater Swamp Warbler,Papyrusrohrsänger,Acrocephalus rufescens,Aves,Passeriformes
165,Acrocephalus schoenobaenus,Sedge Warbler,Schilfrohrsänger,Acrocephalus schoenobaenus,Aves,Passeriformes
166,Acrocephalus scirpaceus,Common Reed Warbler,Teichrohrsänger,Acrocephalus scirpaceus,Aves,Passeriformes
167,Acrocephalus sechellensis,Seychelles Warbler,Seychellenrohrsänger,Acrocephalus sechellensis,Aves,Passeriformes
168,Acrocephalus stentoreus,Clamorous Reed Warbler,Stentorrohrsänger,Acrocephalus stentoreus,Aves,Passeriformes
169,Acrocephalus syrinx,Caroline Reed Warbler,Carolinenrohrsänger,Acrocephalus syrinx,Aves,Passeriformes
170,Acrocephalus taiti,Henderson Reed Warbler,Hendersonrohrsänger,Acrocephalus taiti,Aves,Passeriformes
171,Acrocephalus tangorum,Manchurian Reed Warbler,Mandschurenrohrsänger,Acrocephalus tangorum,Aves,Passeriformes
172,Acrocephalus vaughani,Pitcairn Reed Warbler,Pitcairnrohrsänger,Acrocephalus vaughani,Aves,Passeriformes
175,Tapirus indicus,Asian tapir,,Acrocodia indica,Mammalia,Perissodactyla
176,Acrodectes philopagus,,,Acrodectes philopagus,Insecta,Orthoptera
177,Acrometopa cretensis,,,Acrometopa cretensis,Insecta,Orthoptera
178,Acrometopa italica,,,Acrometopa italica,Insecta,Orthoptera
179,Acrometopa macropoda,,,Acrometopa macropoda,Insecta,Orthoptera
180,Acrometopa servillea,,,Acrometopa servillea,Insecta,Orthoptera
181,Acrometopa syriaca,,,Acrometopa syriaca,Insecta,Orthoptera
182,Acropternis orthonyx,Ocellated Tapaculo,Perlmanteltapaculo,Acropternis orthonyx,Aves,Passeriformes
183,Acryllium vulturinum,Vulturine Guineafowl,Geierperlhuhn,Acryllium vulturinum,Aves,Galliformes
184,Actenoides bougainvillei,Moustached Kingfisher,Bartliest,Actenoides bougainvillei,Aves,Coraciiformes
185,Actenoides concretus,Rufous-collared Kingfisher,Malaienliest,Actenoides concretus,Aves,Coraciiformes
186,Actenoides hombroni,Blue-capped Kingfisher,Mindanaoliest,Actenoides hombroni,Aves,Coraciiformes
187,Actenoides lindsayi,Spotted Wood Kingfisher,Tropfenliest,Actenoides lindsayi,Aves,Coraciiformes
188,Actenoides monachus,Green-backed Kingfisher,Einsiedlerliest,Actenoides monachus,Aves,Coraciiformes
189,Actenoides princeps,Scaly-breasted Kingfisher,Prinzenliest,Actenoides princeps,Aves,Coraciiformes
190,Actinodura cyanouroptera,Blue-winged Minla,Blauflügelsiva,Minla cyanouroptera,Aves,Passeriformes
192,Actinodura egertoni,Rusty-fronted Barwing,Roststirn-Meisenhäherling,Actinodura egertoni,Aves,Passeriformes
193,Actinodura morrisoniana,Taiwan Barwing,Taiwanmeisenhäherling,Actinodura morrisoniana,Aves,Passeriformes
194,Actinodura nipalensis,Hoary-throated Barwing,Nepalmeisenhäherling,Actinodura nipalensis,Aves,Passeriformes
195,Actinodura ramsayi,Spectacled Barwing,Brillenmeisenhäherling,Actinodura ramsayi,Aves,Passeriformes
196,Actinodura sodangorum,Black-crowned Barwing,Schwarzscheitel-Meisenhäherling,Actinodura sodangorum,Aves,Passeriformes
197,Actinodura souliei,Streaked Barwing,Tonkinmeisenhäherling,Actinodura souliei,Aves,Passeriformes
198,Actinodura strigula,Bar-throated Minla,Bändersiva,Minla strigula,Aves,Passeriformes
199,Actinodura waldeni,Streak-throated Barwing,Waldenmeisenhäherling,Actinodura waldeni,Aves,Passeriformes
200,Actinopterygii,Ray-finned Fishes,,,,
201,Actitis hypoleucos,Common Sandpiper,Flussuferläufer,Actitis hypoleucos,Aves,Charadriiformes
202,Actitis macularius,Spotted Sandpiper,Drosseluferläufer,Actitis macularius,Aves,Charadriiformes
203,Actophilornis africanus,African Jacana,Blaustirn-Blatthühnchen,Actophilornis africanus,Aves,Charadriiformes
204,Actophilornis albinucha,Madagascar Jacana,Madagaskarblatthühnchen,Actophilornis albinucha,Aves,Charadriiformes
205,Addax nasomaculatus,,,Addax nasomaculatus,Mammalia,Artiodactyla
206,Adelastes hylonomos,Adelastes hylonomos,,Adelastes hylonomos,Amphibia,Anura
207,Adelomyia melanogenys,Speckled Hummingbird,Schwarzohrkolibri,Adelomyia melanogenys,Aves,Apodiformes
208,Adelophryne adiastola,Adelophryne adiastola,,Adelophryne adiastola,Amphibia,Anura
209,Adelophryne amapaensis,,,Adelophryne amapaensis,Amphibia,Anura
210,Adelophryne baturitensis,,,Adelophryne baturitensis,Amphibia,Anura
211,Adelophryne,Adelophryne,,,Amphibia,Anura
212,Adelotus brevis,Adelotus brevis,,Adelotus brevis,Amphibia,Anura
213,Adelpha californica,,,Limenitis bredowii,Insecta,Lepidoptera
214,Adelphobates quinquevittatus,Adelphobates quinquevittatus,,Adelphobates quinquevittatus,Amphibia,Anura
215,Adenomera andreae,Adenomera andreae,,Adenomera andreae,Amphibia,Anura
216,Adenomera araucaria,,,Adenomera araucaria,Amphibia,Anura
217,Adenomera bokermanni,,,Adenomera bokermanni,Amphibia,Anura
218,Adenomera diptyx,Adenomera diptyx,,Adenomera diptyx,Amphibia,Anura
219,Adenomera heyeri,,,Adenomera heyeri,Amphibia,Anura
220,Adenomera hylaedactyla,Adenomera hylaedactyla,,Adenomera hylaedactyla,Amphibia,Anura
221,Adenomera marmorata,Adenomera marmorata,,Adenomera marmorata,Amphibia,Anura
222,Adenomera nana,,,Adenomera nana,Amphibia,Anura
223,Adenomera saci,,,Adenomera saci,Amphibia,Anura
224,Adenomera,Adenomera,,,Amphibia,Anura
225,Adenostoma sparsifolium,,,,,
226,Adiantum jordanii,,,,,
227,Aechmophorus clarkii,Clark's Grebe,Clarktaucher,Aechmophorus clarkii,Aves,Podicipediformes
228,Aechmophorus occidentalis,Western Grebe,Renntaucher,Aechmophorus occidentalis,Aves,Podicipediformes
229,Aeginetia indica,,,,,
230,Aegithalos bonvaloti,Black-browed Bushtit,Brauenschwanzmeise,Aegithalos bonvaloti,Aves,Passeriformes
231,Aegithalos caudatus,Long-tailed Tit,Schwanzmeise,Aegithalos caudatus,Aves,Passeriformes
232,Aegithalos concinnus,Black-throated Bushtit,Schwarzkehl-Schwanzmeise,Aegithalos concinnus,Aves,Passeriformes
233,Aegithalos exilis,Pygmy Bushtit,Javaschwanzmeise,Psaltria exilis,Aves,Passeriformes
234,Aegithalos fuliginosus,Sooty Bushtit,Rußschwanzmeise,Aegithalos fuliginosus,Aves,Passeriformes
235,Aegithalos glaucogularis,Silver-throated Bushtit,Silberkehl-Schwanzmeise,Aegithalos glaucogularis,Aves,Passeriformes
236,Aegithalos iouschistos,Rufous-fronted Bushtit,Rostwangen-Schwanzmeise,Aegithalos iouschistos,Aves,Passeriformes
237,Aegithalos leucogenys,White-cheeked Bushtit,Weißwangen-Schwanzmeise,Aegithalos leucogenys,Aves,Passeriformes
238,Aegithalos niveogularis,White-throated Bushtit,Weißkehl-Schwanzmeise,Aegithalos niveogularis,Aves,Passeriformes
239,Aegithalos sharpei,Burmese Bushtit,Burmaschwanzmeise,Aegithalos sharpei,Aves,Passeriformes
240,Aegithina lafresnayei,Great Iora,Großiora,Aegithina lafresnayei,Aves,Passeriformes
241,Aegithina nigrolutea,Marshall's Iora,Schwarzkappeniora,Aegithina nigrolutea,Aves,Passeriformes
242,Aegithina tiphia,Common Iora,Garteniora,Aegithina tiphia,Aves,Passeriformes
243,Aegithina viridissima,Green Iora,Smaragdiora,Aegithina viridissima,Aves,Passeriformes
244,Aegolius acadicus,Northern Saw-whet Owl,Sägekauz,Aegolius acadicus,Aves,Strigiformes
245,Aegolius funereus,Boreal Owl,Raufußkauz,Aegolius funereus,Aves,Strigiformes
246,Aegolius harrisii,Buff-fronted Owl,Blassstirnkauz,Aegolius harrisii,Aves,Strigiformes
247,Aegolius ridgwayi,Unspotted Saw-whet Owl,Ridgwaykauz,Aegolius ridgwayi,Aves,Strigiformes
248,Aegotheles albertisi,Mountain Owlet-nightjar,Berghöhlenschwalm,Aegotheles albertisi,Aves,Apodiformes
249,Aegotheles bennettii,Barred Owlet-nightjar,Bennetthöhlenschwalm,Aegotheles bennettii,Aves,Apodiformes
250,Aegotheles crinifrons,Moluccan Owlet-nightjar,Molukkenhöhlenschwalm,Aegotheles crinifrons,Aves,Apodiformes
251,Aegotheles cristatus,Australian Owlet-nightjar,Baumhöhlenschwalm,Aegotheles cristatus,Aves,Apodiformes
252,Aegotheles insignis,Feline Owlet-nightjar,Käuzchenhöhlenschwalm,Aegotheles insignis,Aves,Apodiformes
253,Aegotheles tatei,Starry Owlet-nightjar,Tiefland-Höhlenschwalm,Aegotheles tatei,Aves,Apodiformes
254,Aegotheles wallacii,Wallace's Owlet-nightjar,Fleckenhöhlenschwalm,Aegotheles wallacii,Aves,Apodiformes
255,Aegypius monachus,Cinereous Vulture,Mönchsgeier,Aegypius monachus,Aves,Accipitriformes
256,Aenigmatolimnas marginalis,Striped Crake,Graukehl-Sumpfhuhn,Aenigmatolimnas marginalis,Aves,Gruiformes
258,Aeorestes cinereus,,,Aeorestes cinereus,Mammalia,Chiroptera
260,Aeorestes egregius,,,Aeorestes egregius,Mammalia,Chiroptera
262,Lasiurus semotus,,,Aeorestes semotus,Mammalia,Chiroptera
263,Aepyceros melampus,Impala,,Aepyceros melampus,Mammalia,Artiodactyla
264,Aepypodius arfakianus,Wattled Brushturkey,Kammbuschhuhn,Aepypodius arfakianus,Aves,Galliformes
265,Aerodramus amelis,Ameline Swiftlet,Grausalangane,Aerodramus amelis,Aves,Apodiformes
266,Aerodramus bartschi,Mariana Swiftlet,Marianensalangane,Aerodramus bartschi,Aves,Apodiformes
267,Aerodramus brevirostris,Himalayan Swiftlet,Himalajasalangane,Aerodramus brevirostris,Aves,Apodiformes
268,Aerodramus ceramensis,,,Aerodramus ceramensis,Aves,Apodiformes
269,Aerodramus elaphrus,Seychelles Swiftlet,Seychellensalangane,Aerodramus elaphrus,Aves,Apodiformes
270,Aerodramus francicus,Mascarene Swiftlet,Maskarenensalangane,Aerodramus francicus,Aves,Apodiformes
271,Aerodramus fuciphagus,Edible-nest Swiftlet,Weißnestsalangane,Aerodramus fuciphagus,Aves,Apodiformes
272,Aerodramus germani,,,Aerodramus germani,Aves,Apodiformes
273,Aerodramus hirundinaceus,Mountain Swiftlet,Bergsalangane,Aerodramus hirundinaceus,Aves,Apodiformes
274,Aerodramus infuscatus,Moluccan Swiftlet,Halmaherasalangane,Aerodramus infuscatus,Aves,Apodiformes
275,Aerodramus inquietus,Caroline Swiftlet,Karolinensalangane,Aerodramus inquietus,Aves,Apodiformes
276,Aerodramus leucophaeus,Tahiti Swiftlet,Polynesiensalangane,Aerodramus leucophaeus,Aves,Apodiformes
277,Aerodramus maximus,Black-nest Swiftlet,Schwarznestsalangane,Aerodramus maximus,Aves,Apodiformes
278,Aerodramus mearnsi,Philippine Swiftlet,Braunbürzelsalangane,Aerodramus mearnsi,Aves,Apodiformes
279,Aerodramus ocistus,Marquesan Swiftlet,Marquesassalangane,Aerodramus ocistus,Aves,Apodiformes
280,Aerodramus pelewensis,Palau Swiftlet,Palausalangane,Aerodramus pelewensis,Aves,Apodiformes
281,Aerodramus salangana,Mossy-nest Swiftlet,Moosnestsalangane,Aerodramus salangana,Aves,Apodiformes
282,Aerodramus sawtelli,Atiu Swiftlet,Atiusalangane,Aerodramus sawtelli,Aves,Apodiformes
283,Aerodramus sororum,,,Aerodramus sororum,Aves,Apodiformes
284,Aerodramus spodiopygius,White-rumped Swiftlet,Weißbürzelsalangane,Aerodramus spodiopygius,Aves,Apodiformes
285,Aerodramus terraereginae,Australian Swiftlet,Queenslandsalangane,Aerodramus terraereginae,Aves,Apodiformes
286,Aerodramus unicolor,Indian Swiftlet,Malabarsalangane,Aerodramus unicolor,Aves,Apodiformes
287,Aerodramus vanikorensis,Uniform Swiftlet,Einfarbsalangane,Aerodramus vanikorensis,Aves,Apodiformes
